checked_at,canonical_company_id,company,rating,source_file,source_id,adapter,career_url,execution_status,jobs_found,last_run_at,error,next_due
2026-08-31T10:06:52.497123+00:00,bain,Bain & Company,,job_sources_consulting.csv,bain-global,generic,https://www.bain.com/careers/find-a-role/,zero_jobs,0,2026-08-31T10:06:52.497742+00:00,,
2026-08-31T10:06:52.497123+00:00,zeb-consulting,zeb consulting,,job_sources_consulting.csv,zeb-global,successfactors,https://career.zeb-consulting.com/jobs/,success,50,2026-08-31T10:07:08.713051+00:00,,
2026-08-31T10:06:52.497123+00:00,pa-consulting,PA Consulting,,job_sources_consulting.csv,pa-consulting-global,generic,https://www.paconsulting.com/careers,zero_jobs,0,2026-08-31T10:08:04.533274+00:00,,
2026-08-31T10:06:52.497123+00:00,implement-consulting,Implement Consulting Group,,job_sources_consulting.csv,implement-consulting-global,generic,https://implementconsultinggroup.com/career,error,0,2026-08-31T10:08:47.979748+00:00,https://implementconsultinggroup.com/career: HTTPError,
2026-08-31T10:06:52.497123+00:00,nera,NERA Economic Consulting,,job_sources_consulting.csv,nera-global,generic,https://careers.marshmclennan.com/global/en/nera,error,0,2026-08-31T10:08:48.953777+00:00,https://careers.marshmclennan.com/global/en/nera: HTTPError,
2026-08-31T10:06:52.497123+00:00,accenture,Accenture,,job_sources_consulting.csv,accenture-global,generic,https://www.accenture.com/us-en/careers/jobsearch,zero_jobs,0,2026-08-31T10:08:49.911868+00:00,,
2026-08-31T10:06:52.497123+00:00,tpg,TPG,,job_sources_pe.csv,tpg-global,greenhouse,https://job-boards.greenhouse.io/tpgcareers,zero_jobs,0,2026-08-31T10:09:05.418995+00:00,,
2026-08-31T10:06:52.497123+00:00,axcel,Axcel,,job_sources_pe.csv,axcel-global,generic,https://axcel.dk/career/,error,0,2026-08-31T10:09:05.567407+00:00,https://axcel.dk/career/: HTTPError,
2026-08-31T10:06:52.497123+00:00,kkr,KKR,,job_sources_pe.csv,kkr-global,generic,https://www.kkr.com/careers,zero_jobs,0,2026-08-31T10:09:06.830854+00:00,,
2026-08-31T10:06:52.497123+00:00,brookfield,Brookfield Asset Management,,job_sources_pe.csv,brookfield-global,generic,https://www.brookfield.com/careers,zero_jobs,0,2026-08-31T10:09:22.573560+00:00,,
2026-08-31T10:06:52.497123+00:00,fidelity-international,Fidelity International,,job_sources_pe.csv,fidelity-international-global,generic,https://careers.fidelityinternational.com/,zero_jobs,0,2026-08-31T10:09:44.203500+00:00,,
2026-08-31T10:06:52.497123+00:00,rwe,RWE,,job_sources_corporate.csv,rwe-global,successfactors,https://jobs.rwe.com/,success,28,2026-08-31T10:10:14.050480+00:00,,
2026-08-31T10:06:52.497123+00:00,mol,MOL Group,,job_sources_corporate.csv,mol-global,llm,https://molgroup.taleo.net/careersection/external/jobsearch.ftl,zero_jobs,0,2026-08-31T10:10:57.449530+00:00,,
2026-08-31T10:06:52.497123+00:00,mercedes-benz,Mercedes-Benz Group,,job_sources_corporate.csv,mercedes-benz-global,llm,https://jobs.mercedes-benz.com/enUS,zero_jobs,0,2026-08-31T10:10:58.994723+00:00,,
2026-08-31T10:06:52.497123+00:00,airbus,Airbus,,job_sources_corporate.csv,airbus-global,workday,https://ag.wd3.myworkdayjobs.com/Airbus,success,1,2026-08-31T10:11:00.837717+00:00,,
2026-08-31T10:06:52.497123+00:00,holcim,Holcim,,job_sources_corporate.csv,holcim-global,successfactors,https://careers.holcimgroup.com/?locale=en_US,success,14,2026-08-31T10:11:10.532191+00:00,,
2026-08-31T10:06:52.497123+00:00,wartsila,Wärtsilä,,job_sources_corporate.csv,wartsila-global,successfactors,https://career2.successfactors.eu/career?company=Wartsila,error,0,2026-08-31T10:11:24.104551+00:00,https://career2.successfactors.eu/sitemap.xml: HTTPError,
2026-08-31T10:06:52.497123+00:00,reckitt,Reckitt,,job_sources_corporate.csv,reckitt-global,successfactors,https://career2.successfactors.eu/careers?company=reckittb01,error,0,2026-08-31T10:11:24.709275+00:00,https://career2.successfactors.eu/sitemap.xml: HTTPError,
2026-08-31T10:06:52.497123+00:00,orsted,Ørsted,,job_sources_corporate.csv,orsted-global,generic,https://orsted.com/en/careers/vacancies-list,error,0,2026-08-31T10:11:25.051151+00:00,https://orsted.com/en/careers/vacancies-list: HTTPError,
2026-08-31T10:06:52.497123+00:00,lbbw,LBBW,,job_sources_financial_services.csv,lbbw-global,successfactors,https://karriere.lbbw.de/,zero_jobs,0,2026-08-31T10:11:25.541231+00:00,,
2026-08-31T10:06:52.497123+00:00,uniqa,UNIQA Insurance Group,,job_sources_financial_services.csv,uniqa-global,successfactors,https://careers.uniqagroup.com/,success,2,2026-08-31T10:12:28.478177+00:00,,
