job_id,canonical_company_id,company,title,market,location,priority_locations,job_url,source_url,source_id,date_posted,discovered_at,last_seen_at,big4_relevance_reason,big4_stream,source_stream,status,seniority_band,seniority_order
8ffae4b4edb25bc1,pwc,PwC,"Manager Valuation, Modeling & Analytics (w/m/d)",Germany,"Düsseldorf, DEU · Frankfurt a. M., DEU · Hamburg, DEU · Hannover, DEU · Mannheim, DEU · München, DEU · Nürnberg, DEU · Osnabrück, DEU · Stuttgart, DEU",Munich; Berlin; Frankfurt; Hamburg,https://jobs.pwc.de/de/de/job/1203,https://jobs.pwc.de/de/de/search-results?keywords=finance,pwc-de,2026-05-06,2026-08-11T21:36:09.992086+00:00,2026-08-13T05:49:22.628434+00:00,Title: valuation,J Big 4,Big Four,Open,Realistic target / adjacent,2
47a91b0fb536ccbd,pwc,PwC,"Senior Consultant Valuation, Modeling & Analytics (w/m/d)",Germany,"Berlin, DEU · Düsseldorf, DEU · Frankfurt a. M., DEU · Hamburg, DEU · Hannover, DEU · München, DEU · Nürnberg, DEU · Osnabrück, DEU · Stuttgart, DEU",Munich; Berlin; Frankfurt; Hamburg,https://jobs.pwc.de/de/de/job/2494,https://jobs.pwc.de/de/de/search-results?keywords=finance,pwc-de,2026-05-06,2026-08-11T21:56:45.859970+00:00,2026-08-13T05:49:22.628434+00:00,Title: valuation,J Big 4,Big Four,Open,Realistic target / adjacent,2
cc5d9739be66b966,pwc,PwC,Senior Consultant Real Estate Valuation (w/m/d),Germany,"Berlin, DEU · Frankfurt a. M., DEU · München, DEU · Stuttgart, DEU",Munich; Berlin; Frankfurt; Hamburg,https://jobs.pwc.de/de/de/job/921,https://jobs.pwc.de/de/de/search-results?keywords=finance,pwc-de,2026-05-05,2026-08-11T21:56:45.859970+00:00,2026-08-13T05:49:22.628434+00:00,Title: valuation,J Big 4,Big Four,Open,Realistic target / adjacent,2
5a68696d63dc6b80,pwc,PwC,"Transaction Services, Deals Insights and Analytics - Senior Associate",United Kingdom,"Belfast, County Armagh, United Kingdom · Birmingham, United Kingdom · London, Ontario, Canada · Manchester, United Kingdom",London,https://jobs.pwc.co.uk/uk/en/job/715317WD,https://jobs.pwc.co.uk/uk/en/search-results?keywords=finance,pwc-uk,2026-08-09,2026-08-11T22:06:28.758724+00:00,2026-08-12T21:11:33.695935+00:00,"Title: transaction services, deals",J Big 4,Big Four,Open,Realistic target / adjacent,2
3530f82d932ed104,ey,EY,Internship - Finanční Due Diligence (M&A),Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Internship-Finan%C4%8Dn%C3%AD-Due-Diligence-%28M&A%29-110-00/1226773501/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Tue Jul 21 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,"Title: m&a, due diligence",J Big 4,Big Four,Open,Junior / early-career,1
6cfea483095946b2,ey,EY,Internship - Korporátní finance & Oceňování a Ekonomické poradenství,Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Internship-Korpor%C3%A1tn%C3%AD-finance-&-Oce%C5%88ov%C3%A1n%C3%AD-a-Ekonomick%C3%A9-poradenstv%C3%AD-110-00/1226773901/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Tue Jul 21 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,"Description: valuation, corporate finance",J Big 4,Big Four,Open,Junior / early-career,1
03a3a5ae39fb698f,ey,EY,Internship - Korporátní finance & Restrukturalizace,Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Internship-Korpor%C3%A1tn%C3%AD-finance-&-Restrukturalizace-110-00/1226311301/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Tue Jul 21 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,"Description: corporate finance, restructuring, financial modeling",J Big 4,Big Four,Open,Junior / early-career,1
91964ba89c0d561b,ey,EY,Junior konzultant - Finanční Due Diligence (M&A),Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Junior-konzultant-Finan%C4%8Dn%C3%AD-Due-Diligence-%28M&A%29-110-00/1226776801/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Tue Jul 21 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,"Title: m&a, due diligence",J Big 4,Big Four,Open,Junior / early-career,1
5d8a392ce013f569,ey,EY,Junior konzultant - Korporátní finance & Oceňování a Ekonomické poradenství,Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Junior-konzultant-Korpor%C3%A1tn%C3%AD-finance-&-Oce%C5%88ov%C3%A1n%C3%AD-a-Ekonomick%C3%A9-poradenstv%C3%AD-110-00/1226774201/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Sun Aug 09 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,"Description: valuation, corporate finance, financial modeling",J Big 4,Big Four,Open,Junior / early-career,1
af85284120a2db74,ey,EY,Finance & CFO Specialist | Banking (w/m/d),Austria,,Vienna,https://careers.ey.com/ey/job/Vienna-Finance-&-CFO-Specialist-Banking-%28wmd%29-1220/1384503033/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Austria,ey-at,Mon Aug 10 02:00:00 UTC 2026,2026-08-11T19:37:06.158891+00:00,2026-08-13T05:52:46.769407+00:00,Description: finance transformation,J Big 4,Big Four,Open,Realistic target / adjacent,2
513e60989f2a985e,ey,EY,Senior Consultant - Financial Due Diligence,Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Senior-Consultant-Financial-Due-Diligence-110-00/1226775101/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Tue Jul 21 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,Title: due diligence,J Big 4,Big Four,Open,Realistic target / adjacent,2
f6eff502fb34fd48,ey,EY,Senior Consultant - Strategy & Execution,Czechia,,Prague,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Senior-Consultant-Strategy-&-Execution-110-00/1233846501/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Czech%20Republic,ey-cz,Tue Jul 21 02:00:00 UTC 2026,2026-08-11T19:34:50.772839+00:00,2026-08-13T05:50:24.912979+00:00,"Description: valuation, merger, acquisition",J Big 4,Big Four,Open,Realistic target / adjacent,2
d5ff425dfc0c4790,ey,EY,EY-Parthenon Praktikant Financial Diligence (Financial Services) (w/m/d),Germany,"Köln, NW, DE · Eschborn / Frankfurt (Main), HE, DE · München, BY, DE",Munich; Berlin; Frankfurt; Hamburg,https://careers.ey.com/ey/job/M%C3%BCnchen-EY-Parthenon-Praktikant-Financial-Diligence-%28Financial-Services%29-%28wmd%29-BY-80636/1221341001/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Germany,ey-de,Sun Aug 09 02:00:00 UTC 2026,2026-08-11T19:36:00.373487+00:00,2026-08-13T05:51:35.006780+00:00,"Description: corporate finance, m&a, merger, due diligence, strategy and transactions",J Big 4,Big Four,Open,Seniority unclear,2
a916b4567772678d,ey,EY,EY-Parthenon Senior Consultant Transaction Diligence (Financial Services) (w/m/d),Germany,"Köln, NW, DE · Eschborn / Frankfurt (Main), HE, DE · München, BY, DE",Munich; Berlin; Frankfurt; Hamburg,https://careers.ey.com/ey/job/M%C3%BCnchen-EY-Parthenon-Senior-Consultant-Transaction-Diligence-%28Financial-Services%29-%28wmd%29-BY-80636/1208401801/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Germany,ey-de,Fri Jul 17 02:00:00 UTC 2026,2026-08-11T19:36:00.373487+00:00,2026-08-13T05:51:35.006780+00:00,"Description: m&a, acquisition, due diligence, liquidity, working capital",J Big 4,Big Four,Open,Realistic target / adjacent,2
1b40a7f72ba6c887,ey,EY,Consultant and Senior Consultant within EY Finance Consulting,Nordics,,Helsinki,https://careers.ey.com/ey/job/Helsinki-Consultant-and-Senior-Consultant-within-EY-Finance-Consulting-00130/1424174733/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Finland,ey-fi,Fri Aug 07 00:00:00 UTC 2026,2026-08-11T19:43:41.728826+00:00,2026-08-13T05:59:46.358070+00:00,Description: m&a,J Big 4,Big Four,Open,Realistic target / adjacent,2
9c37fc2a8f2c8906,ey,EY,Risk Senior Consultant in Geneva - Non-financial risk management,Switzerland,,Zurich,https://careers.ey.com/ey/job/Grand-Lancy-Geneva-Risk-Senior-Consultant-in-Geneva-Non-financial-risk-management-1212/1407367233/,https://careers.ey.com/ey/search/?q=finance&locationsearch=Switzerland,ey-ch,Wed Jul 22 02:00:00 UTC 2026,2026-08-11T19:38:11.846812+00:00,2026-08-13T05:54:01.321492+00:00,"Title: financial risk, risk management",J Big 4,Big Four,Open,Realistic target / adjacent,2
9d843e2957d94bc7,ey,EY,Experienced Junior/Senior - Financial Due Diligence,Cyprus,"Nicosia, Cyprus",Nicosia,https://careers.ey.com/ey/job/Nicosia-Experienced-JuniorSenior-Financial-Due-Diligence-1087/1417250033/,https://careers.ey.com/ey/search/?q=finance,ey-cy,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Realistic target / adjacent,2
89397224bc6307ba,ey,EY,Senior Consultant - Strategy and Transactions,Cyprus,"Nicosia, Cyprus",Nicosia,https://careers.ey.com/ey/job/Nicosia-Senior-Consultant-Strategy-and-Transactions-1087/1399879633/,https://careers.ey.com/ey/search/?q=finance,ey-cy,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2
113f1a222702004a,ey,EY,EY-Parthenon Senior Consultant Commercial Due Diligence,Netherlands,"Amsterdam, Netherlands",Amsterdam,https://careers.ey.com/ey/job/Amsterdam-EY-Parthenon-Senior-Consultant-Commercial-Due-Diligence-1083-HP/1409358533/,https://careers.ey.com/ey/search/?q=finance,ey-nl,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2
c98057f4826fa5b8,ey,EY,Senior Consultant FAAS Valuation (Real Estate),Luxembourg,Luxembourg,Luxembourg,https://careers.ey.com/ey/job/Luxembourg-Senior-Consultant-FAAS-Valuation-%28Real-Estate%29-L-1855/1405915533/,https://careers.ey.com/ey/search/?q=finance,ey-lu,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2
b8d71c0c56089dca,ey,EY,Senior Consultant - Finance Optimization,Switzerland,"Basel, Zurich or Geneva, Switzerland",Basel,https://careers.ey.com/ey/job/Zurich-Senior-Consultant-Finance-Optimization-%28FAAS%29-8005/1365332233/,https://careers.ey.com/ey/search/?q=finance,ey-ch,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2
523b88713526568a,ey,EY,Senior Consultant Quantitative & Financial Risk - Financial Services,Belgium,"Diegem, Belgium",Diegem,https://careers.ey.com/ey/job/Diegem-Senior-Consultant-Quantitative-%26-Financial-Risk-Financial-Services-1831/1385348033/,https://careers.ey.com/ey/search/?q=finance,ey-be,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2
04bca75ce702cfd1,ey,EY,EY Parthenon Senior Consultant Transaction Diligence - Financial Services,Belgium,"Diegem, Belgium",Diegem,https://careers.ey.com/ey/job/Diegem-EY-Parthenon-Senior-Consultant-Transaction-Diligence-Financial-Services-1831/1385372333/,https://careers.ey.com/ey/search/?q=finance,ey-be,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2
64e13e75a4b55731,ey,EY,Senior Consultant - EY-Parthenon Strategy and Execution,Latvia,"Riga, Latvia",Riga,https://careers.ey.com/ey/job/Riga-Senior-Consultant-EY-Parthenon-Strategy-and-Execution-Riga-1010/1387738133/,https://careers.ey.com/ey/search/?q=finance,ey-lv,,2026-08-30T18:18:17.653365+00:00,2026-08-30T18:18:17.653365+00:00,"EY careers portal research: relevant transaction, valuation, finance or risk track",J Big 4,Big Four,Open,Senior Consultant,2

